vehicle_id,make,model,year,odometer_km,title_status,engine_condition,health_score,is_synthetic,STFT_mean,LTFT_mean,warm_idle_rpm_mean,warm_idle_cv,load_mean,timing_mean,map_mean,catalyst_temp_mean,maf_idle_mean,coolant_max
synthetic_044,Toyota,Corolla,2014,65161,clean,healthy,89.6,True,0.359,-3.399,853.037,12.511,33.008,11.886,53.163,678.432,3.518,92.058
synthetic_045,Toyota,Corolla,2014,163478,clean,degraded,56.0,True,-2.296,-11.897,678.009,18.686,38.767,7.305,71.028,601.669,7.454,78.719
synthetic_046,Toyota,Corolla,2015,186483,clean,worn,68.4,True,-7.758,-5.111,810.725,19.869,17.326,5.554,36.955,668.529,4.757,85.24
synthetic_047,Toyota,Corolla,2016,70821,clean,healthy,85.6,True,-3.028,-5.089,746.866,10.91,27.114,10.016,43.758,570.356,3.946,86.894
synthetic_048,Toyota,Corolla,2017,149753,clean,worn,78.2,True,-4.884,-7.396,937.178,20.141,31.003,7.07,48.877,610.637,4.93,92.03
synthetic_049,Toyota,Corolla,2019,268994,clean,degraded,46.4,True,-7.857,-8.94,786.994,16.585,23.818,11.201,72.74,572.587,6.192,88.868
synthetic_050,Toyota,Corolla,2019,86148,clean,worn,66.0,True,4.197,-2.761,769.767,16.178,21.936,7.017,42.436,532.554,4.047,84.674
synthetic_051,Toyota,Corolla,2013,81888,rebuilt,degraded,39.9,True,3.914,-6.529,731.744,43.996,43.671,12.391,67.199,608.725,5.443,90.951
synthetic_052,Honda,Civic,2015,218532,clean,degraded,34.9,True,-2.857,-4.5,855.159,23.726,44.175,3.355,57.481,569.193,6.327,91.614
synthetic_053,Toyota,Corolla,2018,103761,clean,healthy,92.1,True,-0.823,-4.326,760.797,9.292,39.033,12.935,41.197,531.247,2.756,87.167
synthetic_054,Honda,Civic,2017,229291,clean,worn,52.6,True,3.396,3.387,770.768,14.418,42.283,6.279,58.741,611.988,3.691,92.376
synthetic_055,Toyota,Corolla,2014,110394,rebuilt,worn,65.0,True,4.201,-7.858,680.993,25.964,38.635,12.55,44.463,589.811,3.288,93.363
synthetic_056,Honda,Civic,2014,215105,rebuilt,degraded,35.3,True,8.114,0.923,714.854,34.565,46.701,-2.0,59.289,565.103,5.085,90.296
synthetic_057,Toyota,Corolla,2016,167390,rebuilt,healthy,84.7,True,-2.576,-3.301,653.812,6.634,38.793,12.242,42.206,511.823,3.281,87.91
synthetic_058,Toyota,Corolla,2015,257447,clean,degraded,29.7,True,-4.696,-6.43,755.626,37.392,51.025,10.588,51.339,593.635,4.523,85.279
synthetic_059,Honda,Civic,2013,168422,rebuilt,degraded,36.6,True,5.523,1.538,825.248,29.205,42.136,3.728,65.591,642.501,5.684,89.217
synthetic_060,Honda,Civic,2016,164782,rebuilt,healthy,81.5,True,3.286,0.436,708.391,3.8,47.57,4.853,35.709,582.338,3.93,92.286
synthetic_061,Toyota,Corolla,2014,155855,clean,healthy,76.7,True,-2.626,-4.465,741.477,10.173,30.451,12.19,44.302,630.111,2.586,90.997
synthetic_062,Toyota,Corolla,2017,100704,clean,worn,47.5,True,3.742,-3.508,864.785,22.048,41.528,9.194,62.331,595.905,4.41,92.692
synthetic_063,Honda,Civic,2016,194685,clean,worn,62.6,True,4.994,-0.838,743.982,21.018,37.538,0.397,51.197,552.178,4.103,91.527
synthetic_064,Toyota,Corolla,2017,55935,rebuilt,degraded,36.0,True,5.8,-2.079,819.172,35.77,50.784,4.164,52.244,660.465,3.889,90.572
synthetic_065,Toyota,Corolla,2018,281168,clean,worn,53.4,True,0.625,-2.729,645.0,23.579,42.851,13.693,50.035,585.167,4.484,91.517
synthetic_066,Honda,Civic,2014,83487,rebuilt,worn,60.1,True,4.328,1.34,724.626,13.815,35.893,1.869,60.0,615.167,5.398,89.48
synthetic_067,Honda,Civic,2017,120119,rebuilt,worn,61.3,True,6.116,4.881,683.034,11.882,31.93,7.474,52.393,580.554,3.588,94.67
synthetic_068,Toyota,Corolla,2018,86245,clean,healthy,80.2,True,-4.328,-5.14,770.463,10.859,30.105,4.839,34.0,493.884,2.867,88.145
synthetic_069,Toyota,Corolla,2017,262621,rebuilt,worn,66.4,True,-2.901,-6.215,662.714,23.932,29.474,12.162,56.096,612.068,4.069,91.48
synthetic_070,Honda,Civic,2018,78744,clean,healthy,72.2,True,3.72,0.324,725.802,9.823,43.169,14.269,41.63,524.328,3.485,89.874
synthetic_071,Toyota,Corolla,2018,258462,clean,worn,49.1,True,-3.774,-6.144,850.293,23.535,48.691,1.222,59.405,498.025,3.227,87.021
synthetic_072,Honda,Civic,2016,174348,clean,worn,49.0,True,-3.0,3.95,747.458,14.277,46.237,11.276,53.208,583.176,4.958,92.387
synthetic_073,Toyota,Corolla,2014,233827,rebuilt,healthy,80.1,True,-2.068,-3.985,723.336,9.098,31.156,19.0,48.203,558.463,2.217,86.878
synthetic_074,Toyota,Corolla,2017,220390,clean,degraded,33.1,True,-4.136,-8.993,645.0,44.39,55.052,8.71,54.065,644.655,5.247,91.556
synthetic_075,Honda,Civic,2017,190028,rebuilt,healthy,78.2,True,3.606,1.978,725.271,4.835,36.64,3.819,35.793,508.005,4.022,91.876
synthetic_076,Honda,Civic,2014,225979,rebuilt,healthy,76.0,True,3.882,3.333,778.841,6.664,27.198,9.3,46.667,482.477,3.544,88.232
synthetic_077,Toyota,Corolla,2013,61824,rebuilt,degraded,44.5,True,-1.845,-7.179,812.354,33.206,50.129,8.472,59.754,564.428,5.221,90.511
synthetic_078,Toyota,Corolla,2014,162439,clean,healthy,72.3,True,-3.133,-4.139,726.216,8.937,41.804,11.27,48.39,580.343,2.92,87.649
synthetic_079,Honda,Civic,2013,233459,clean,degraded,34.2,True,9.352,7.585,799.689,24.11,43.064,6.895,60.634,575.559,5.886,90.077
synthetic_080,Toyota,Corolla,2013,232941,clean,degraded,38.4,True,-1.777,-2.37,815.663,32.975,55.447,18.704,57.371,589.098,3.891,90.795
synthetic_081,Toyota,Corolla,2016,253499,rebuilt,healthy,76.2,True,-1.985,-5.283,751.399,7.211,44.265,7.34,42.158,508.36,3.133,95.414
synthetic_082,Honda,Civic,2015,84664,rebuilt,worn,65.9,True,5.557,3.615,832.11,13.642,43.576,3.621,55.056,636.543,3.691,84.61
synthetic_083,Toyota,Corolla,2013,219187,rebuilt,healthy,78.3,True,-1.21,-6.393,698.615,10.141,33.235,15.159,52.158,544.949,4.043,86.527
synthetic_084,Honda,Civic,2017,178689,clean,healthy,80.4,True,2.658,2.88,688.726,7.002,29.368,6.246,46.203,473.96,2.953,89.997
synthetic_085,Toyota,Corolla,2014,131357,rebuilt,healthy,89.4,True,-1.937,-5.079,669.85,11.097,35.382,9.101,44.683,565.704,2.963,90.778
synthetic_086,Honda,Civic,2013,201802,rebuilt,degraded,44.7,True,-1.413,-4.5,860.368,23.799,46.645,3.601,65.26,629.203,6.351,96.199
synthetic_087,Honda,Civic,2016,198088,rebuilt,worn,68.0,True,4.305,0.955,759.463,15.784,50.393,6.802,57.257,580.362,5.346,89.284
synthetic_088,Honda,Civic,2015,188686,clean,degraded,47.4,True,-0.596,3.794,793.932,20.37,48.571,3.258,53.921,615.438,5.841,86.094
synthetic_089,Toyota,Corolla,2013,164670,clean,worn,60.1,True,0.572,-2.484,727.172,25.348,42.106,9.712,51.497,548.048,4.574,89.271
synthetic_090,Honda,Civic,2017,87247,clean,worn,62.4,True,0.951,-1.255,713.955,15.094,36.179,12.95,46.977,601.211,5.192,87.919
synthetic_091,Honda,Civic,2013,119370,clean,healthy,76.1,True,3.55,1.838,803.165,11.139,36.229,11.86,48.76,534.821,3.414,87.358
synthetic_092,Toyota,Corolla,2016,263032,rebuilt,worn,61.9,True,-4.114,-5.025,680.172,24.868,49.855,12.225,52.264,508.248,3.275,88.41
synthetic_093,Toyota,Corolla,2013,145608,rebuilt,worn,65.6,True,-2.335,-5.807,736.69,15.268,37.135,12.251,50.266,545.135,3.673,85.167
synthetic_094,Honda,Civic,2015,71453,rebuilt,worn,61.2,True,-0.795,0.952,722.0,10.552,39.085,11.083,56.266,622.815,3.505,91.616
synthetic_095,Toyota,Corolla,2014,186568,rebuilt,worn,49.9,True,3.652,-1.63,748.841,21.546,38.614,14.488,46.185,612.542,4.708,94.03
synthetic_096,Toyota,Corolla,2014,241459,clean,healthy,73.9,True,-3.483,-6.995,675.415,8.608,36.717,4.191,48.792,545.208,2.973,86.788
synthetic_097,Toyota,Corolla,2013,85828,rebuilt,worn,63.6,True,-2.52,-2.338,717.868,16.019,56.056,6.118,47.273,599.959,3.028,92.009
synthetic_098,Honda,Civic,2013,242189,clean,worn,45.0,True,6.803,-3.018,724.76,11.787,51.349,14.674,56.585,627.724,4.478,92.494
synthetic_099,Honda,Civic,2013,199147,rebuilt,healthy,82.9,True,1.755,1.743,726.14,9.775,33.208,8.242,43.23,522.982,3.214,92.284
synthetic_100,Honda,Civic,2015,209998,clean,worn,55.3,True,5.291,1.318,892.726,13.477,43.828,8.758,53.041,575.933,4.93,88.06
synthetic_101,Honda,Civic,2016,214480,rebuilt,worn,61.4,True,5.104,3.041,765.625,21.065,35.206,5.448,49.955,591.314,5.07,91.386
synthetic_102,Toyota,Corolla,2013,240858,clean,worn,55.2,True,-4.36,-1.054,854.793,21.174,36.104,11.702,45.117,550.397,4.314,86.008
synthetic_103,Honda,Civic,2013,156607,clean,healthy,83.3,True,5.469,3.163,730.809,8.26,30.097,4.286,48.135,516.577,3.805,87.008
synthetic_104,Toyota,Corolla,2018,160561,clean,worn,57.9,True,-1.16,-8.752,812.359,24.259,50.675,2.124,56.253,582.498,3.892,87.951
synthetic_105,Honda,Civic,2016,139900,rebuilt,worn,67.1,True,-0.238,1.321,826.303,18.731,44.165,4.04,49.812,636.967,3.874,90.385
synthetic_106,Toyota,Corolla,2016,122870,clean,worn,56.0,True,-3.658,-2.874,782.137,17.983,41.845,5.086,54.64,599.053,4.618,87.036
synthetic_107,Honda,Civic,2013,131282,clean,worn,56.8,True,3.633,1.935,762.364,15.617,40.476,1.985,50.859,600.029,4.04,84.827
synthetic_108,Toyota,Corolla,2015,113822,rebuilt,worn,62.5,True,-1.177,-0.812,793.924,16.686,42.19,7.257,52.757,537.611,4.358,86.154
synthetic_109,Honda,Civic,2014,112757,rebuilt,healthy,75.5,True,4.565,1.729,718.992,8.612,30.062,2.415,53.334,526.984,4.182,89.539
synthetic_110,Honda,Civic,2016,117981,clean,healthy,77.7,True,5.047,1.514,752.978,7.423,39.941,6.085,45.394,507.783,2.833,91.715
